family,batch,density,id,signature,score,ms,slots,white,whitePct,crossings,checkedPct,averageLength,shortPct,three,long,fullLength,solutionFound,validatorPassed,proof,nodes,deadEnds,backtracks,timeouts,attempts,rootContradictions,hallContradictions,uniquenessContradictions,exhaustiveFailures,rootTimeouts,cachedFailures,probes
unchecked,0,0.3,5862e334c1c9d769,0111011111101/0111001010111/1111111110111/0111100101110/1111100111100/1110111101111/1110011110100/0111011100111/1010111001010/1011101011110/1111110111101/0111011110101/1110010100111,66.42462462393252,52.12454200000002,52,119,70.41420118343196,89,74.78991596638656,4,59.61538461538461,31,1,1,True,True,,55,32,34,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,48a94ad0e4e56345,1111010011100/0011110111100/0111111011111/1010111110111/1110101011111/1111111100101/0101010100111/0011110111010/1110101010111/1011111011100/1111111111111/0101110011110/1110100111010,64.98135382981415,26.970374999999876,50,119,70.41420118343196,86,72.26890756302521,4.1,52,26,1,1,True,True,,51,12,12,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,e237a384e586353e,1010011101010/1110010101111/1111111111010/0101001110100/1111011110101/0011100111111/1111111011111/1110100111111/1110111101001/0101110100100/1010111111111/1011111001111/1110101001111,64.8478723723719,33.543542000000116,48,119,70.41420118343196,83,69.74789915966386,4.208333333333333,45.83333333333333,22,0,0,True,True,,51,21,23,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,365bd24d5feab1ce,0010010101110/0111011111101/1111110111101/1111001011111/1110101110111/0011111011111/1010101110111/1111010011111/1010011111010/1110111011100/0101011111111/1111101010101/0101011100101,62.87726698496211,34.91508299999987,44,119,70.41420118343196,76,63.86554621848739,4.431818181818182,40.909090909090914,18,1,0,True,True,,53,35,43,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,39b76e65f5ffa025,1110011100111/0010011101110/1111111110111/0010010111010/1111110111111/0011111101110/1111100111101/0010011100101/1110101010111/0111101111010/1111111110111/1111001111010/1010111100111,62.63888398976858,21.866792000000032,45,119,70.41420118343196,77,64.70588235294117,4.355555555555555,48.888888888888886,22,1,1,True,True,,51,6,11,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,a0029f4f67d58aaa,0101010111001/0101010111111/1111111111111/1010111001110/1110111110100/0011101011101/1110111110111/0111100101111/1111110100111/1111001111010/1010111101111/1010101011100/0111101001111,62.614144965194605,22.132958000000144,47,119,70.41420118343196,81,68.0672268907563,4.25531914893617,44.680851063829785,21,2,1,True,True,,49,7,8,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,dcceeda384008122,1010011111101/1111111101111/1110011101111/0111101010010/0101110111001/1011100111111/1110011111101/1010101011110/1111111010101/0011111100111/1111111111101/0010101110111/0010100111100,62.27528712766806,25.898832999999968,47,119,70.41420118343196,82,68.90756302521008,4.276595744680851,48.93617021276596,23,1,0,True,True,,49,6,8,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,02c9e6e1d738aebe,1110111100100/1001111100111/1111111111101/1011101001111/1111110011100/1010010101110/0101011100111/1111100111010/0111101111010/1011110111111/1111111011101/1010111011101/0010011111110,61.533438179415754,27.969667000000072,47,119,70.41420118343196,85,71.42857142857143,4.340425531914893,40.42553191489361,19,1,0,True,True,,48,3,3,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,ba7a9d101430d6c1,0111010101110/1110111100101/1111011110111/1110101111101/1011101011110/1010111111100/1111101010101/1010011110111/0111001111111/1110111100111/0101110011111/1110111110101/0101110010100,61.00334472087185,20.37454099999991,43,119,70.41420118343196,74,62.18487394957983,4.488372093023256,41.86046511627907,18,1,1,True,True,,44,6,6,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,532a0b2c454a488e,0011101110010/1110010100111/0010111111111/1111011110101/0111101111001/0101111001111/1001111001111/1110111110111/1110010111100/1111011110111/0011111111111/1111101001111/0010101001110,59.52549295029316,27.421291999999994,51,119,70.41420118343196,93,78.15126050420169,4.1568627450980395,41.17647058823529,21,1,0,True,True,,52,6,6,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,931172282e634ea2,1110011101001/1001010101111/1111111111101/1001111001110/1111111010100/1011100111001/0111010011111/0010011111101/1111110011111/1001011110101/1111111101111/0011111101110/1110100111110,59.22872049675732,22.793915999999854,44,119,70.41420118343196,78,65.54621848739495,4.4772727272727275,38.63636363636363,17,1,0,True,True,,45,4,4,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,15ceb5b335000887,1111111100100/0101011101111/1111011111101/0111111001111/0111101010100/1001111111110/1010101010101/1110011110111/1011110011101/0111010111001/1011111111110/1110011101110/1010111001111,56.201105513639604,21.205834000000095,44,119,70.41420118343196,77,64.70588235294117,4.454545454545454,45.45454545454545,20,0,0,True,True,,45,7,7,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,ce32b8ede97c5f17,1110011100101/0010101011101/1111111111111/1010101011100/1110010111110/1001111010101/0111111111001/0011101110111/1111100111001/0010111001111/1111111111111/0111011101110/1111010101110,55.63567089185719,12.86345799999981,45,119,70.41420118343196,78,65.54621848739495,4.377777777777778,51.11111111111111,23,2,2,True,True,,46,4,4,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,5284cad31be5f4b3,0111111100101/1110100101111/0111111111111/1111101001110/0101001111100/0010011101111/1111100101010/1011111011111/1111100101010/0101010101111/1111111111111/1001111001111/1110101110100,54.030578759879965,16.749042000000145,43,119,70.41420118343196,75,63.02521008403361,4.511627906976744,44.18604651162791,19,3,1,True,True,,44,3,3,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,086ee9605c499d01,0111011101010/0111110011110/1111111001111/0111100111110/1001110101001/1010111110101/1110010100111/1111011111100/1111111101010/1011111101111/1110111110111/1110011110101/0111001011100,53.42980576801571,86.92995799999994,48,119,70.41420118343196,88,73.94957983193278,4.3125,45.83333333333333,22,0,0,True,True,,65,74,90,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,1f167c4f4e76b863,0111011101010/0010111111111/1110011101111/1001111010111/1111100111100/0111100111010/0111111111111/1110101011110/0011111010100/1110100101111/1011111111101/1111100101111/0011101110100,52.897479384914654,17.329292000000123,47,119,70.41420118343196,84,70.58823529411765,4.319148936170213,46.808510638297875,22,1,0,True,True,,49,15,16,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,7e18b746c8c0adfa,1001111100111/1011110100100/1111111111111/1111010111100/0111100111110/1111001111001/0100111001111/1010111001111/1111111110111/1010100101111/0111111110100/0010111011100/1110111010111,51.767594125753654,25.02583299999992,45,119,70.41420118343196,83,69.74789915966386,4.488888888888889,35.55555555555556,16,1,1,True,True,,48,11,13,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,357be846f17f1db5,1010111010100/1011110111111/1110111111100/1111011101111/1110101111100/1011101010100/0111111010111/1011100111101/1110100101001/1111111101110/0111010111111/0111011101110/1111100101010,51.55498383800646,29.211708000000044,46,119,70.41420118343196,82,68.90756302521008,4.369565217391305,45.65217391304348,21,1,1,True,True,,52,6,12,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,7f9beb4fda89127e,0101011110010/0111101010111/1111111111110/0010111100111/1110011110111/1011101001111/1110011111100/1111101011111/0111010111100/0011110010111/1111111101110/1010111100111/1110101110100,50.598037875676916,11.393708999999944,47,119,70.41420118343196,83,69.74789915966386,4.297872340425532,51.06382978723404,24,3,0,True,True,,48,7,7,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,47c025f466bae6d9,1110010011110/1111011101110/1110111001111/1111101111010/1110111111001/0011101110111/0010100111001/1111110100101/0111001011111/1111001110111/1111111111111/1001010100111/0111010111100,50.37614741937029,150.01487500000007,47,119,70.41420118343196,85,71.42857142857143,4.340425531914893,44.680851063829785,21,2,1,False,False,,2276,13564,15840,16,1,0,0,0,0,0,0,0
unchecked,0,0.3,98c75f6e1cd065f1,0011101110111/0010111101010/1111101111111/1110111011101/1110011111101/0011111011110/0010011101110/1111110010111/1011101111111/1011100111101/1110011111111/0111001110100/0100111001110,50.35997810053853,40.66279200000008,49,119,70.41420118343196,88,73.94957983193278,4.224489795918367,55.10204081632652,27,2,0,True,True,,76,37,67,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,5fc0584417bf6ecc,0111011101111/1111111001110/0111111011111/1111101110101/0011100111001/1111010101111/0010111001010/1111110011110/0010111110101/0011111110101/1111111111111/0101011101010/1110010111010,50.09955790022631,150.02983300000005,47,119,70.41420118343196,85,71.42857142857143,4.340425531914893,44.680851063829785,21,2,1,False,False,,254,1706,1960,16,1,0,0,0,0,0,0,0
unchecked,0,0.3,9dcec5032dc8c428,0111001110111/0111110011110/1111111111111/1001110011100/1110100111111/1110111100100/1111101111010/0010111110111/1111001010111/1110010011101/1111111111111/0101010111001/0101001111100,48.68076661151103,16.76995899999997,47,119,70.41420118343196,86,72.26890756302521,4.361702127659575,46.808510638297875,22,2,2,True,True,,53,8,14,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,e4af25f9ccdc0f08,0010100101110/0111110111100/1011111101111/1111010111111/1010111001111/1010111111100/1111101010100/0010101010111/1111010111101/1110011110111/1111111111101/1010111010111/0111101010101,45.36596883975363,13.357874999999922,41,119,70.41420118343196,75,63.02521008403361,4.7317073170731705,34.146341463414636,14,3,2,True,True,,42,3,3,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,2d595a9c93a2fbd8,0010100111101/1110101010101/0111111111111/1111001111110/0011100101111/0011110011110/1111101010100/1110011110111/1110101111101/1011101110111/1110111111100/1111110100111/1110011110100,38.39106392092638,25.80895899999996,45,119,70.41420118343196,84,70.58823529411765,4.511111111111111,46.666666666666664,21,3,2,True,True,,52,18,24,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,3f068b40d20b1431,1110100101010/0011110111111/1111111111111/0011110011111/0010111101010/1111100101110/1110101110101/1111110010111/1111001011101/0111111110111/1111011111101/1010111100100/1010010101110,36.79880851576538,150.01699999999983,42,119,70.41420118343196,80,67.22689075630252,4.738095238095238,35.714285714285715,15,2,2,False,False,,71,265,336,9,1,0,0,0,0,0,0,0
unchecked,1,0.26,6465897a766ba611,1111111010111/1111011111100/1111111110111/1110010111111/1111101010111/1110111111001/0010101010101/1011111011110/1111010111111/1001010101010/0111101110111/0011111100101/1111101111111,57.98364588603285,150.0245,47,126,74.55621301775149,85,67.46031746031747,4.48936170212766,42.5531914893617,20,0,0,False,False,,88,434,522,5,1,0,0,0,0,0,0,0
unchecked,1,0.26,035cc4473a185597,1111010111111/1111111111111/1111011111111/1001111010101/1010111101010/0111110011110/1010100111111/1111011110100/1011110111100/0101010101111/1111101111110/0111111001111/1110101111100,57.271749187919234,105.26308299999982,49,126,74.55621301775149,91,72.22222222222221,4.428571428571429,28.57142857142857,14,1,1,True,True,,96,89,135,0,1,0,0,0,0,0,0,0
unchecked,1,0.26,f9452eba6c5678d6,0011111001111/1111011101111/0111111011111/1110111110111/1010100111110/1111010101111/0101111001110/0111010111111/1110101011100/0111101110111/1111111111001/1111010101111/1011110111001,55.45137897411528,37.165042000000085,54,126,74.55621301775149,98,77.77777777777779,4.148148148148148,44.44444444444444,24,0,0,True,True,,55,17,17,0,1,0,0,0,0,0,0,0
unchecked,1,0.26,4d4333df673539cb,1011101001110/1110101111001/1110111111111/1111110111001/1111011100111/1011110011111/0101011110111/1111110011100/0111101111010/1010111111111/1111111110111/1011110100101/1011100111110,53.40639126372343,150.03320899999972,51,126,74.55621301775149,95,75.39682539682539,4.333333333333333,41.17647058823529,21,0,0,False,False,,359,916,1275,24,1,0,0,0,0,0,0,0
unchecked,1,0.26,5efa255e964e1d3a,1111011100111/1110111111001/1111011111111/0111100111110/1111111001111/1010101001111/1111001111001/0011111111111/1111001110010/0011110101111/1111101011110/0111101001111/1111011111010,52.164320811935966,150.55379099999982,50,126,74.55621301775149,95,75.39682539682539,4.42,34,17,2,1,False,False,,401,2591,2992,16,1,0,0,0,0,0,0,0
unchecked,1,0.26,1407c4d1430970a8,0111011101111/0011100111010/1111110111111/1010111110101/1110010101111/1001111110111/0111100101110/1011101011110/1110011101111/1111111011101/1111111111111/0111101011110/0111110111010,51.48985869689909,150.02691600000026,51,126,74.55621301775149,95,75.39682539682539,4.333333333333333,43.13725490196079,22,1,1,False,False,,498,973,1471,27,1,0,0,0,0,0,0,0
