seed,variant,success,ms,words,intersections,impossibleMs,templatesAttempted,solverCalls
12,C,False,1461.047290999999,0,0,1438.9034840000459,24,480
12,D,False,21.145666999997047,0,0,0,0,0
13,A,False,1247.765374999999,0,0,1222.9518780000071,24,480
13,B,False,23.0814160000009,0,0,0,0,0
13,C,False,1241.3404999999984,0,0,1217.8868250000087,24,480
13,D,False,22.73866600000474,0,0,0,0,0
14,A,False,1091.0355829999971,0,0,1066.9638199999827,24,480
14,B,False,22.415791999999783,0,0,0,0,0
14,C,False,1101.989625000002,0,0,1078.5339149999563,24,480
14,D,False,22.400916999999026,0,0,0,0,0
15,A,False,1230.8887500000055,0,0,1208.9049389999418,24,480
15,B,False,20.14191700000083,0,0,0,0,0
15,C,False,1218.6523329999982,0,0,1197.579007000044,24,480
15,D,False,23.736834000003,0,0,0,0,0
16,A,False,1228.1340829999972,0,0,1204.4656569999497,24,480
16,B,False,21.89191700000083,0,0,0,0,0
16,C,False,1179.5219999999972,0,0,1156.8366710000191,24,480
16,D,False,21.47833299999911,0,0,0,0,0
17,A,False,1417.9805000000051,0,0,1394.8266569999687,24,480
17,B,False,21.55924999999843,0,0,0,0,0
17,C,False,1435.2048330000034,0,0,1412.1858009999996,24,480
17,D,False,20.461499999997613,0,0,0,0,0
18,A,False,1379.3327500000014,0,0,1356.477657000025,24,480
18,B,False,20.951874999998836,0,0,0,0,0
18,C,False,1382.711749999995,0,0,1360.6734559999895,24,480
18,D,False,21.272792000003392,0,0,0,0,0
19,A,False,1242.7732499999984,0,0,1219.6969470000258,24,480
19,B,False,21.354292000003625,0,0,0,0,0
19,C,False,1239.439790999997,0,0,1216.8616740000143,24,480
19,D,False,21.41475000000355,0,0,0,0,0
20,A,False,1321.432915999998,0,0,1296.365902000034,24,480
20,B,False,23.159458000001905,0,0,0,0,0
20,C,False,1303.1110830000034,0,0,1279.0356640000027,24,480
20,D,False,23.043625000005704,0,0,0,0,0
21,A,False,1339.2717499999999,0,0,1314.790630999989,24,480
21,B,False,23.299833000004583,0,0,0,0,0
21,C,False,1331.1977499999994,0,0,1306.8571689998862,24,480
21,D,False,22.906624999995984,0,0,0,0,0
22,A,False,1178.8105419999993,0,0,1155.5727100001532,24,480
22,B,False,20.904207999999926,0,0,0,0,0
22,C,False,1173.0850829999981,0,0,1150.889547000057,24,480
22,D,False,21.498625000000175,0,0,0,0,0
23,A,False,1063.891499999998,0,0,1039.9702459999826,24,480
23,B,False,22.557999999997264,0,0,0,0,0
23,C,False,1066.4343750000044,0,0,1043.2544109999799,24,480
23,D,False,21.964708999999857,0,0,0,0,0
24,A,False,1026.4676659999968,0,0,1002.156455999997,24,480
24,B,False,22.86229199999798,0,0,0,0,0
24,C,False,1033.0386660000004,0,0,1008.9482890000072,24,480
24,D,False,22.43108399999619,0,0,0,0,0
25,A,False,1287.7232920000024,0,0,1263.4829960000643,24,480
25,B,False,23.026374999994005,0,0,0,0,0
25,C,False,1284.3434999999954,0,0,1260.5790669999915,24,480
25,D,False,22.09991699999955,0,0,0,0,0
26,A,False,1082.7309170000008,0,0,1059.8730060000453,24,480
26,B,False,21.059124999999767,0,0,0,0,0
26,C,False,1093.90804200001,0,0,1070.7857110000768,24,480
26,D,False,21.282124999997905,0,0,0,0,0
27,A,False,1197.5863329999993,0,0,1173.222162000151,24,480
27,B,False,22.716791999991983,0,0,0,0,0
27,C,False,1198.941249999989,0,0,1174.9362149999652,24,480
27,D,False,22.306708999996772,0,0,0,0,0
28,A,False,1050.374291,0,0,1027.822719000018,24,480
28,B,False,20.894625000000815,0,0,0,0,0
28,C,False,1032.8273330000084,0,0,1010.7623319997947,24,480
28,D,False,20.601416000004974,0,0,0,0,0
29,A,False,1247.5924999999988,0,0,1226.042833999949,24,480
29,B,False,20.35349999999744,0,0,0,0,0
