experiment,size,mode,policy,length,templatesRequiringLength,minSlots,maxSlots,medianSlots,minCandidates,maxCandidates
"templates6","9","ar_to_en","compatibility","9","18","4","6","4","279","279"
"templates6","9","ar_to_en","compatibility","8","3","1","2","1","279","279"
"templates6","11","ar_to_en","compatibility","3","18","15","36","23","217","217"
"templates6","11","ar_to_en","compatibility","4","18","2","16","8","217","217"
"templates6","11","ar_to_en","compatibility","6","14","1","6","4","217","217"
"templates6","11","ar_to_en","compatibility","11","18","4","4","4","217","217"
"templates6","11","ar_to_en","compatibility","5","10","1","8","5","217","217"
"templates6","11","ar_to_en","compatibility","7","9","1","3","2","217","217"
"templates6","11","ar_to_en","approved-only","3","18","13","30","19","120","120"
"templates6","11","ar_to_en","approved-only","4","18","2","16","8","269","269"
"templates6","11","ar_to_en","approved-only","5","14","1","8","5.5","266","266"
"templates6","11","ar_to_en","approved-only","6","16","1","6","4","239","239"
"templates6","11","ar_to_en","approved-only","7","10","1","3","2.5","219","219"
"templates6","11","ar_to_en","approved-only","11","18","4","6","4","28","28"
"templates6","11","ar_to_en","approved-only","9","2","1","2","1.5","78","78"
"templates6","13","ar_to_en","compatibility","3","18","18","45","28.5","177","177"
"templates6","13","ar_to_en","compatibility","4","18","4","18","10","178","178"
"templates6","13","ar_to_en","compatibility","5","17","1","14","6","178","178"
"templates6","13","ar_to_en","compatibility","6","17","1","8","4","178","178"
"templates6","13","ar_to_en","compatibility","7","13","1","4","2","178","178"
"templates6","13","ar_to_en","compatibility","9","8","1","2","1.5","178","178"
"templates6","13","ar_to_en","compatibility","13","18","4","5","4","177","177"
"templates6","13","ar_to_en","compatibility","12","1","1","1","1","177","177"
"templates6","13","ar_to_en","compatibility","8","5","1","2","2","178","178"
"templates6","13","ar_to_en","approved-only","3","18","23","44","31.5","120","120"
"templates6","13","ar_to_en","approved-only","4","18","2","20","8","269","269"
"templates6","13","ar_to_en","approved-only","5","17","2","11","5","266","266"
"templates6","13","ar_to_en","approved-only","6","14","1","8","6","239","239"
"templates6","13","ar_to_en","approved-only","7","13","1","4","2","219","219"
"templates6","13","ar_to_en","approved-only","13","18","4","6","4","8","8"
"templates6","13","ar_to_en","approved-only","8","7","1","4","2","167","167"
"templates6","13","ar_to_en","approved-only","9","4","1","4","2","78","78"
"templates6","13","en_to_ar","compatibility","2","18","26","52","42","172","172"
"templates6","13","en_to_ar","compatibility","3","18","10","32","15.5","172","172"
"templates6","13","en_to_ar","compatibility","4","18","4","15","9.5","173","173"
"templates6","13","en_to_ar","compatibility","5","18","2","9","5","173","173"
"templates6","13","en_to_ar","compatibility","6","15","1","4","2","173","173"
"templates6","13","en_to_ar","compatibility","9","6","1","2","1.5","172","172"
"templates6","13","en_to_ar","compatibility","10","6","1","4","1","172","172"
"templates6","13","en_to_ar","compatibility","13","7","1","3","1","103","103"
"templates6","13","en_to_ar","compatibility","7","12","1","3","1","173","173"
"templates6","13","en_to_ar","compatibility","8","8","1","4","1","173","173"
"templates6","13","en_to_ar","compatibility","11","2","1","1","1","172","172"
"templates6","13","en_to_ar","approved-only","2","18","26","52","42","50","50"
"templates6","13","en_to_ar","approved-only","3","18","10","32","15.5","324","324"
