experiment,size,mode,policy,length,templatesRequiringLength,minSlots,maxSlots,medianSlots,minCandidates,maxCandidates
"pool3000","13","en_to_ar","compatibility","11","2","1","2","1.5","269","269"
"pool3000","13","en_to_ar","approved-only","2","18","32","56","45","50","50"
"pool3000","13","en_to_ar","approved-only","3","18","8","26","14","367","367"
"pool3000","13","en_to_ar","approved-only","4","18","6","19","9.5","584","584"
"pool3000","13","en_to_ar","approved-only","5","16","1","10","4","584","584"
"pool3000","13","en_to_ar","approved-only","6","12","2","4","2.5","584","584"
"pool3000","13","en_to_ar","approved-only","7","13","1","6","2","502","502"
"pool3000","13","en_to_ar","approved-only","10","5","1","2","1","24","24"
"pool3000","13","en_to_ar","approved-only","8","7","1","2","2","180","180"
"pool3000","13","en_to_ar","approved-only","13","5","1","2","1","2","2"
"pool3000","13","en_to_ar","approved-only","9","4","2","3","2","94","94"
"pool3000","13","en_to_ar","approved-only","11","2","1","2","1.5","16","16"
"pool3000","9","ar_to_en","compatibility","8","4","1","1","1","422","422"
"pool3000","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"pool3000","13","ar_to_en","compatibility","12","2","1","2","1.5","276","276"
"pool3000","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"pool3000","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"pool3000","11","ar_to_en","compatibility","8","1","1","1","1","328","328"
"pool3000","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"pool3000","13","en_to_ar","compatibility","12","1","2","2","2","175","175"
"pool3000","13","en_to_ar","approved-only","12","1","2","2","2","13","13"
"pool4000","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"pool4000","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"pool4000","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"pool4000","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"pool4000","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"pool4000","9","ar_to_en","compatibility","3","72","4","24","19.5","565","565"
"pool4000","9","ar_to_en","compatibility","4","58","1","8","4","565","565"
"pool4000","9","ar_to_en","compatibility","5","63","1","12","3","565","565"
"pool4000","9","ar_to_en","compatibility","9","72","4","7","4","564","564"
"pool4000","9","ar_to_en","compatibility","7","25","1","4","1","565","565"
"pool4000","9","ar_to_en","compatibility","8","8","1","2","1","564","564"
"pool4000","9","ar_to_en","compatibility","6","1","1","1","1","565","565"
"pool4000","11","ar_to_en","compatibility","3","72","12","36","20","439","439"
"pool4000","11","ar_to_en","compatibility","4","69","2","20","7","440","440"
"pool4000","11","ar_to_en","compatibility","6","61","1","8","4","439","439"
"pool4000","11","ar_to_en","compatibility","7","44","1","8","1.5","439","439"
"pool4000","11","ar_to_en","compatibility","11","72","4","6","4","439","439"
"pool4000","11","ar_to_en","compatibility","5","63","1","10","4","440","440"
"pool4000","11","ar_to_en","compatibility","9","14","1","3","1","439","439"
"pool4000","11","ar_to_en","compatibility","10","5","1","2","1","439","439"
"pool4000","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"pool4000","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"pool4000","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"pool4000","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"pool4000","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"pool4000","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"pool4000","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"pool4000","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"pool4000","13","ar_to_en","compatibility","3","72","16","42","30","377","377"
"pool4000","13","ar_to_en","compatibility","4","70","2","26","9","378","378"
"pool4000","13","ar_to_en","compatibility","5","68","1","15","6","378","378"
"pool4000","13","ar_to_en","compatibility","6","63","1","20","6","378","378"
"pool4000","13","ar_to_en","compatibility","7","47","1","6","2","378","378"
"pool4000","13","ar_to_en","compatibility","9","16","1","4","1","377","377"
"pool4000","13","ar_to_en","compatibility","13","72","4","6","4","192","192"
"pool4000","13","ar_to_en","compatibility","12","1","2","2","2","363","363"
"pool4000","13","ar_to_en","compatibility","8","30","1","6","2","378","378"
"pool4000","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"pool4000","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"pool4000","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"pool4000","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"pool4000","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"pool4000","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"pool4000","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"pool4000","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"pool4000","13","en_to_ar","compatibility","2","18","26","56","39","228","228"
"pool4000","13","en_to_ar","compatibility","3","18","10","25","15","403","403"
"pool4000","13","en_to_ar","compatibility","4","18","4","16","9","404","404"
"pool4000","13","en_to_ar","compatibility","5","16","2","9","5","403","403"
"pool4000","13","en_to_ar","compatibility","6","14","1","6","2","403","403"
"pool4000","13","en_to_ar","compatibility","8","10","1","6","2","403","403"
"pool4000","13","en_to_ar","compatibility","13","3","1","2","2","103","103"
"pool4000","13","en_to_ar","compatibility","7","11","1","6","2","403","403"
"pool4000","13","en_to_ar","compatibility","9","8","1","2","1.5","403","403"
"pool4000","13","en_to_ar","compatibility","10","4","1","2","1.5","403","403"
"pool4000","13","en_to_ar","compatibility","11","2","1","1","1","269","269"
"pool4000","13","en_to_ar","approved-only","2","18","30","56","42","50","50"
"pool4000","13","en_to_ar","approved-only","3","18","12","31","15.5","367","367"
"pool4000","13","en_to_ar","approved-only","4","18","2","20","9","731","731"
"pool4000","13","en_to_ar","approved-only","5","17","2","10","5","870","870"
"pool4000","13","en_to_ar","approved-only","7","13","1","4","2","502","502"
"pool4000","13","en_to_ar","approved-only","8","10","1","3","1.5","180","180"
"pool4000","13","en_to_ar","approved-only","6","15","1","5","2","631","631"
"pool4000","13","en_to_ar","approved-only","9","6","1","3","1","94","94"
"pool4000","13","en_to_ar","approved-only","10","3","1","2","1","24","24"
"pool4000","13","en_to_ar","approved-only","13","7","1","2","1","2","2"
"pool4000","11","ar_to_en","compatibility","8","2","1","1","1","439","439"
"pool4000","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"pool4000","13","ar_to_en","compatibility","11","5","1","2","2","377","377"
"pool4000","13","ar_to_en","compatibility","10","2","2","2","2","377","377"
"pool4000","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"pool4000","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"pool4000","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"pool4000","13","en_to_ar","approved-only","12","1","1","1","1","13","13"
"pool6000","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"pool6000","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"pool6000","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"pool6000","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"pool6000","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"pool6000","9","ar_to_en","compatibility","3","72","8","24","17.5","630","630"
"pool6000","9","ar_to_en","compatibility","4","58","1","8","4","888","888"
"pool6000","9","ar_to_en","compatibility","5","65","1","7","3","887","887"
"pool6000","9","ar_to_en","compatibility","7","26","1","4","1","887","887"
"pool6000","9","ar_to_en","compatibility","9","72","4","8","4","887","887"
"pool6000","9","ar_to_en","compatibility","8","6","1","1","1","887","887"
"pool6000","11","ar_to_en","compatibility","3","72","12","36","20","630","630"
"pool6000","11","ar_to_en","compatibility","4","69","2","18","8","666","666"
"pool6000","11","ar_to_en","compatibility","5","64","1","10","4","666","666"
"pool6000","11","ar_to_en","compatibility","6","65","1","10","4","666","666"
"pool6000","11","ar_to_en","compatibility","9","6","1","2","2","665","665"
"pool6000","11","ar_to_en","compatibility","11","72","4","6","4","665","665"
"pool6000","11","ar_to_en","compatibility","7","35","1","4","2","665","665"
"pool6000","11","ar_to_en","compatibility","10","2","1","2","1.5","665","665"
"pool6000","11","ar_to_en","compatibility","8","4","1","2","1","665","665"
"pool6000","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"pool6000","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"pool6000","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"pool6000","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"pool6000","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"pool6000","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"pool6000","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"pool6000","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"pool6000","13","ar_to_en","compatibility","3","72","16","46","28","599","599"
"pool6000","13","ar_to_en","compatibility","4","71","2","24","10","600","600"
"pool6000","13","ar_to_en","compatibility","5","69","2","15","6","600","600"
"pool6000","13","ar_to_en","compatibility","6","65","1","10","4","600","600"
"pool6000","13","ar_to_en","compatibility","7","49","1","6","2","600","600"
"pool6000","13","ar_to_en","compatibility","13","72","4","6","4","192","192"
"pool6000","13","ar_to_en","compatibility","9","20","1","3","1","600","600"
"pool6000","13","ar_to_en","compatibility","8","35","1","4","2","600","600"
"pool6000","13","ar_to_en","compatibility","11","6","1","2","1.5","599","599"
"pool6000","13","ar_to_en","compatibility","12","1","1","1","1","363","363"
"pool6000","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"pool6000","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"pool6000","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"pool6000","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"pool6000","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"pool6000","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"pool6000","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"pool6000","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"pool6000","13","en_to_ar","compatibility","2","18","24","54","44","228","228"
"pool6000","13","en_to_ar","compatibility","3","18","9","30","15","676","676"
"pool6000","13","en_to_ar","compatibility","4","18","4","16","10","677","677"
"pool6000","13","en_to_ar","compatibility","8","12","1","4","2","676","676"
"pool6000","13","en_to_ar","compatibility","13","5","1","3","1","103","103"
"pool6000","13","en_to_ar","compatibility","5","16","2","8","5","677","677"
"pool6000","13","en_to_ar","compatibility","6","11","2","8","3","677","677"
"pool6000","13","en_to_ar","compatibility","7","12","1","4","2","676","676"
"pool6000","13","en_to_ar","compatibility","9","5","1","2","1","676","676"
"pool6000","13","en_to_ar","compatibility","10","4","1","2","1.5","490","490"
"pool6000","13","en_to_ar","compatibility","12","1","1","1","1","175","175"
"pool6000","13","en_to_ar","approved-only","2","18","30","56","42","50","50"
"pool6000","13","en_to_ar","approved-only","3","18","12","31","15.5","367","367"
"pool6000","13","en_to_ar","approved-only","4","18","2","20","9","731","731"
"pool6000","13","en_to_ar","approved-only","5","17","2","10","5","870","870"
"pool6000","13","en_to_ar","approved-only","7","13","1","4","2","502","502"
"pool6000","13","en_to_ar","approved-only","8","10","1","3","1.5","180","180"
"pool6000","13","en_to_ar","approved-only","6","15","1","5","2","631","631"
"pool6000","13","en_to_ar","approved-only","9","6","1","3","1","94","94"
"pool6000","13","en_to_ar","approved-only","10","3","1","2","1","24","24"
"pool6000","13","en_to_ar","approved-only","13","7","1","2","1","2","2"
"pool6000","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"pool6000","13","ar_to_en","compatibility","10","1","2","2","2","600","600"
"pool6000","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"pool6000","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"pool6000","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"pool6000","13","en_to_ar","approved-only","12","1","1","1","1","13","13"
"poolShort","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"poolShort","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"poolShort","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"poolShort","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"poolShort","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"poolShort","9","ar_to_en","compatibility","3","72","4","24","17.5","630","630"
"poolShort","9","ar_to_en","compatibility","4","57","1","8","4","279","279"
"poolShort","9","ar_to_en","compatibility","5","63","1","12","3","279","279"
"poolShort","9","ar_to_en","compatibility","8","9","1","2","1","279","279"
"poolShort","9","ar_to_en","compatibility","9","72","4","8","4","279","279"
"poolShort","9","ar_to_en","compatibility","7","29","1","4","1","279","279"
"poolShort","11","ar_to_en","compatibility","3","72","10","30","19","630","630"
"poolShort","11","ar_to_en","compatibility","4","70","2","20","7.5","217","217"
"poolShort","11","ar_to_en","compatibility","5","66","1","10","4","217","217"
"poolShort","11","ar_to_en","compatibility","6","63","1","10","3","217","217"
"poolShort","11","ar_to_en","compatibility","7","38","1","4","2","217","217"
"poolShort","11","ar_to_en","compatibility","11","72","4","8","4","217","217"
"poolShort","11","ar_to_en","compatibility","9","13","1","4","1","217","217"
"poolShort","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"poolShort","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"poolShort","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"poolShort","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"poolShort","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"poolShort","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"poolShort","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"poolShort","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"poolShort","13","ar_to_en","compatibility","3","72","16","42","29.5","630","630"
"poolShort","13","ar_to_en","compatibility","4","71","2","22","10","178","178"
"poolShort","13","ar_to_en","compatibility","5","65","1","20","6","178","178"
"poolShort","13","ar_to_en","compatibility","6","59","1","10","5","178","178"
"poolShort","13","ar_to_en","compatibility","7","47","1","7","3","178","178"
"poolShort","13","ar_to_en","compatibility","9","17","1","2","1","178","178"
"poolShort","13","ar_to_en","compatibility","13","72","4","7","4","177","177"
"poolShort","13","ar_to_en","compatibility","8","26","1","4","2","178","178"
"poolShort","13","ar_to_en","compatibility","11","8","1","2","1","177","177"
"poolShort","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"poolShort","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"poolShort","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"poolShort","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"poolShort","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"poolShort","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"poolShort","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"poolShort","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"poolShort","13","en_to_ar","compatibility","2","18","30","51","39","172","172"
"poolShort","13","en_to_ar","compatibility","3","18","10","26","16","2273","2273"
"poolShort","13","en_to_ar","compatibility","4","18","8","16","11","173","173"
"poolShort","13","en_to_ar","compatibility","5","17","2","10","5","173","173"
"poolShort","13","en_to_ar","compatibility","6","13","1","4","2","173","173"
"poolShort","13","en_to_ar","compatibility","10","4","1","1","1","172","172"
"poolShort","13","en_to_ar","compatibility","13","6","1","2","1","103","103"
"poolShort","13","en_to_ar","compatibility","7","14","1","5","1.5","173","173"
"poolShort","13","en_to_ar","compatibility","8","9","1","2","1","173","173"
"poolShort","13","en_to_ar","compatibility","9","7","1","2","1","172","172"
"poolShort","13","en_to_ar","compatibility","11","4","1","2","1","172","172"
"poolShort","13","en_to_ar","approved-only","2","18","32","48","39","50","50"
"poolShort","13","en_to_ar","approved-only","3","18","10","34","16","367","367"
"poolShort","13","en_to_ar","approved-only","4","17","4","18","11","325","325"
"poolShort","13","en_to_ar","approved-only","5","17","2","8","4","324","324"
"poolShort","13","en_to_ar","approved-only","6","13","1","5","2","324","324"
"poolShort","13","en_to_ar","approved-only","7","13","1","4","2","324","324"
"poolShort","13","en_to_ar","approved-only","8","10","1","4","2","180","180"
"poolShort","13","en_to_ar","approved-only","9","4","1","2","2","94","94"
"poolShort","13","en_to_ar","approved-only","10","2","2","2","2","24","24"
"poolShort","13","en_to_ar","approved-only","13","6","1","2","1.5","2","2"
"poolShort","11","ar_to_en","compatibility","10","2","1","1","1","217","217"
"poolShort","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"poolShort","13","ar_to_en","compatibility","12","1","1","1","1","177","177"
"poolShort","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"poolShort","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"poolShort","13","en_to_ar","approved-only","12","2","1","2","1.5","13","13"
"poolShort","11","ar_to_en","compatibility","8","2","1","1","1","217","217"
"poolShort","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"poolShort","13","en_to_ar","compatibility","12","2","1","2","1.5","172","172"
"poolLong","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"poolLong","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"poolLong","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"poolLong","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"poolLong","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"poolLong","9","ar_to_en","compatibility","3","72","4","24","19","279","279"
"poolLong","9","ar_to_en","compatibility","5","67","2","12","3","279","279"
"poolLong","9","ar_to_en","compatibility","9","72","4","8","4","1582","1582"
"poolLong","9","ar_to_en","compatibility","4","55","1","8","4","279","279"
"poolLong","9","ar_to_en","compatibility","7","21","1","4","2","279","279"
"poolLong","9","ar_to_en","compatibility","8","5","1","1","1","279","279"
"poolLong","11","ar_to_en","compatibility","3","72","14","34","21","217","217"
"poolLong","11","ar_to_en","compatibility","4","70","1","18","8","217","217"
"poolLong","11","ar_to_en","compatibility","5","63","1","14","4","217","217"
"poolLong","11","ar_to_en","compatibility","6","63","1","8","3","217","217"
"poolLong","11","ar_to_en","compatibility","7","44","1","5","1.5","217","217"
"poolLong","11","ar_to_en","compatibility","11","72","4","5","4","678","678"
"poolLong","11","ar_to_en","compatibility","9","11","1","4","1","217","217"
"poolLong","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"poolLong","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"poolLong","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"poolLong","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"poolLong","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"poolLong","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"poolLong","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"poolLong","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"poolLong","13","ar_to_en","compatibility","3","72","8","42","29.5","177","177"
"poolLong","13","ar_to_en","compatibility","4","69","2","20","8","178","178"
"poolLong","13","ar_to_en","compatibility","5","64","1","14","7","178","178"
"poolLong","13","ar_to_en","compatibility","6","64","1","12","5.5","178","178"
"poolLong","13","ar_to_en","compatibility","7","46","1","6","2","178","178"
"poolLong","13","ar_to_en","compatibility","8","34","1","6","2","178","178"
"poolLong","13","ar_to_en","compatibility","9","20","1","3","1","178","178"
"poolLong","13","ar_to_en","compatibility","11","6","1","2","1","177","177"
"poolLong","13","ar_to_en","compatibility","13","72","4","7","4","192","192"
"poolLong","13","ar_to_en","compatibility","10","3","1","2","2","177","177"
"poolLong","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"poolLong","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"poolLong","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"poolLong","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"poolLong","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"poolLong","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"poolLong","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"poolLong","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"poolLong","13","en_to_ar","compatibility","2","18","26","52","42","172","172"
"poolLong","13","en_to_ar","compatibility","3","18","10","32","15.5","172","172"
"poolLong","13","en_to_ar","compatibility","4","18","4","15","9.5","173","173"
"poolLong","13","en_to_ar","compatibility","5","18","2","9","5","173","173"
"poolLong","13","en_to_ar","compatibility","6","15","1","4","2","173","173"
"poolLong","13","en_to_ar","compatibility","9","6","1","2","1.5","172","172"
"poolLong","13","en_to_ar","compatibility","10","6","1","4","1","172","172"
"poolLong","13","en_to_ar","compatibility","13","7","1","3","1","103","103"
"poolLong","13","en_to_ar","compatibility","7","12","1","3","1","173","173"
"poolLong","13","en_to_ar","compatibility","8","8","1","4","1","173","173"
"poolLong","13","en_to_ar","compatibility","11","2","1","1","1","172","172"
"poolLong","13","en_to_ar","approved-only","2","18","26","52","42","50","50"
"poolLong","13","en_to_ar","approved-only","3","18","10","32","15.5","324","324"
"poolLong","13","en_to_ar","approved-only","4","18","4","15","9.5","325","325"
"poolLong","13","en_to_ar","approved-only","5","18","2","9","5","324","324"
"poolLong","13","en_to_ar","approved-only","6","15","1","4","2","324","324"
"poolLong","13","en_to_ar","approved-only","9","6","1","2","1.5","94","94"
"poolLong","13","en_to_ar","approved-only","10","6","1","4","1","24","24"
"poolLong","13","en_to_ar","approved-only","13","7","1","3","1","2","2"
"poolLong","13","en_to_ar","approved-only","7","12","1","3","1","324","324"
"poolLong","13","en_to_ar","approved-only","8","8","1","4","1","180","180"
"poolLong","13","en_to_ar","approved-only","11","2","1","1","1","16","16"
"poolLong","9","ar_to_en","compatibility","6","2","1","2","1.5","279","279"
"poolLong","11","ar_to_en","compatibility","10","2","1","1","1","217","217"
"poolLong","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"poolLong","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"poolLong","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"poolLong","13","en_to_ar","compatibility","12","2","1","2","1.5","172","172"
"poolLong","13","en_to_ar","approved-only","12","2","1","2","1.5","13","13"
"poolLong","11","ar_to_en","compatibility","8","1","1","1","1","217","217"
"poolLong","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"arc4000","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"arc4000","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"arc4000","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"arc4000","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"arc4000","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"arc4000","9","ar_to_en","compatibility","3","72","4","24","19.5","565","565"
"arc4000","9","ar_to_en","compatibility","4","58","1","8","4","565","565"
"arc4000","9","ar_to_en","compatibility","5","63","1","12","3","565","565"
"arc4000","9","ar_to_en","compatibility","9","72","4","7","4","564","564"
"arc4000","9","ar_to_en","compatibility","7","25","1","4","1","565","565"
"arc4000","9","ar_to_en","compatibility","8","8","1","2","1","564","564"
"arc4000","9","ar_to_en","compatibility","6","1","1","1","1","565","565"
"arc4000","11","ar_to_en","compatibility","3","72","12","36","20","439","439"
"arc4000","11","ar_to_en","compatibility","4","69","2","20","7","440","440"
"arc4000","11","ar_to_en","compatibility","6","61","1","8","4","439","439"
"arc4000","11","ar_to_en","compatibility","7","44","1","8","1.5","439","439"
"arc4000","11","ar_to_en","compatibility","11","72","4","6","4","439","439"
"arc4000","11","ar_to_en","compatibility","5","63","1","10","4","440","440"
"arc4000","11","ar_to_en","compatibility","9","14","1","3","1","439","439"
"arc4000","11","ar_to_en","compatibility","10","5","1","2","1","439","439"
"arc4000","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"arc4000","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"arc4000","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"arc4000","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"arc4000","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"arc4000","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"arc4000","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"arc4000","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"arc4000","13","ar_to_en","compatibility","3","72","16","42","30","377","377"
"arc4000","13","ar_to_en","compatibility","4","70","2","26","9","378","378"
"arc4000","13","ar_to_en","compatibility","5","68","1","15","6","378","378"
"arc4000","13","ar_to_en","compatibility","6","63","1","20","6","378","378"
"arc4000","13","ar_to_en","compatibility","7","47","1","6","2","378","378"
"arc4000","13","ar_to_en","compatibility","9","16","1","4","1","377","377"
"arc4000","13","ar_to_en","compatibility","13","72","4","6","4","192","192"
"arc4000","13","ar_to_en","compatibility","12","1","2","2","2","363","363"
"arc4000","13","ar_to_en","compatibility","8","30","1","6","2","378","378"
"arc4000","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"arc4000","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"arc4000","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"arc4000","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"arc4000","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"arc4000","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"arc4000","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"arc4000","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"arc4000","13","en_to_ar","compatibility","2","18","26","56","39","228","228"
"arc4000","13","en_to_ar","compatibility","3","18","10","25","15","403","403"
"arc4000","13","en_to_ar","compatibility","4","18","4","16","9","404","404"
"arc4000","13","en_to_ar","compatibility","5","16","2","9","5","403","403"
"arc4000","13","en_to_ar","compatibility","6","14","1","6","2","403","403"
"arc4000","13","en_to_ar","compatibility","8","10","1","6","2","403","403"
"arc4000","13","en_to_ar","compatibility","13","3","1","2","2","103","103"
"arc4000","13","en_to_ar","compatibility","7","11","1","6","2","403","403"
"arc4000","13","en_to_ar","compatibility","9","8","1","2","1.5","403","403"
"arc4000","13","en_to_ar","compatibility","10","4","1","2","1.5","403","403"
"arc4000","13","en_to_ar","compatibility","11","2","1","1","1","269","269"
"arc4000","13","en_to_ar","approved-only","2","18","30","56","42","50","50"
"arc4000","13","en_to_ar","approved-only","3","18","12","31","15.5","367","367"
"arc4000","13","en_to_ar","approved-only","4","18","2","20","9","731","731"
"arc4000","13","en_to_ar","approved-only","5","17","2","10","5","870","870"
"arc4000","13","en_to_ar","approved-only","7","13","1","4","2","502","502"
"arc4000","13","en_to_ar","approved-only","8","10","1","3","1.5","180","180"
"arc4000","13","en_to_ar","approved-only","6","15","1","5","2","631","631"
"arc4000","13","en_to_ar","approved-only","9","6","1","3","1","94","94"
"arc4000","13","en_to_ar","approved-only","10","3","1","2","1","24","24"
"arc4000","13","en_to_ar","approved-only","13","7","1","2","1","2","2"
"arc4000","11","ar_to_en","compatibility","8","2","1","1","1","439","439"
"arc4000","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"arc4000","13","ar_to_en","compatibility","11","5","1","2","2","377","377"
"arc4000","13","ar_to_en","compatibility","10","2","2","2","2","377","377"
"arc4000","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"arc4000","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"arc4000","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"arc4000","13","en_to_ar","approved-only","12","1","1","1","1","13","13"
"arc6000","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"arc6000","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"arc6000","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"arc6000","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
