experiment,size,mode,policy,runs,successful,successRate,medianMs,p95Ms,medianWords,medianIntersections,candidateCount
"pool3000","13","en_to_ar","compatibility","3","2","66.66666666666666","42.623916999997164","1806.6256250000006","84","119","3000"
"pool3000","13","en_to_ar","approved-only","3","0","0","1806.179","1806.866541000003","null","null","3000"
"pool4000","7","ar_to_en","approved-only","3","0","0","3002.0969579999946","3002.3983329999974","null","null","1128"
"pool4000","9","ar_to_en","compatibility","3","3","100","781.479416000002","1020.2841669999907","32","64","4000"
"pool4000","11","ar_to_en","compatibility","3","2","66.66666666666666","3213.5677089999954","4504.866875000007","46","94.5","4000"
"pool4000","11","ar_to_en","approved-only","3","0","0","4502.091583000001","4503.4026659999945","null","null","1455"
"pool4000","13","ar_to_en","compatibility","3","0","0","4513.724792000008","4515.000708000007","null","null","4000"
"pool4000","13","ar_to_en","approved-only","3","0","0","143.86929099999543","145.07062500000757","null","null","1477"
"pool4000","13","en_to_ar","compatibility","3","3","100","27.906375000005937","49.322000000000116","80","120","4000"
"pool4000","13","en_to_ar","approved-only","3","0","0","1806.9528750000027","1808.457500000004","null","null","3480"
"pool6000","7","ar_to_en","approved-only","3","0","0","3002.371167000005","3002.387084000002","null","null","1128"
"pool6000","9","ar_to_en","compatibility","3","3","100","350.5286669999914","961.0904580000206","32","64","6000"
"pool6000","11","ar_to_en","compatibility","3","3","100","688.6167920000007","1354.966167000006","44","96","6000"
"pool6000","11","ar_to_en","approved-only","3","0","0","4503.639999999999","4509.9289579999895","null","null","1455"
"pool6000","13","ar_to_en","compatibility","3","2","66.66666666666666","3593.499833000009","4518.101916","62","122","6000"
"pool6000","13","ar_to_en","approved-only","3","0","0","142.77908400000888","144.82104199999594","null","null","1477"
"pool6000","13","en_to_ar","compatibility","3","3","100","50.688292000006186","74.48620800001663","84","119","6000"
"pool6000","13","en_to_ar","approved-only","3","0","0","1807.0445419999887","1810.0959159999911","null","null","3480"
"poolShort","7","ar_to_en","approved-only","3","0","0","3002.3097919999855","3002.402000000002","null","null","1128"
"poolShort","9","ar_to_en","compatibility","3","3","100","498.66950000001816","1013.4674999999988","32","64","2351"
"poolShort","11","ar_to_en","compatibility","3","1","33.33333333333333","4503.152000000002","4503.284500000009","44","92","2413"
"poolShort","11","ar_to_en","approved-only","3","0","0","4502.601250000007","4504.3389170000155","null","null","1455"
"poolShort","13","ar_to_en","compatibility","3","0","0","4513.6377500000235","4516.079832999996","null","null","2453"
"poolShort","13","ar_to_en","approved-only","3","0","0","141.62329200000386","144.23499999998603","null","null","1477"
"poolShort","13","en_to_ar","compatibility","3","3","100","44.546875","89.87508299999172","82","119","4101"
"poolShort","13","en_to_ar","approved-only","3","0","0","1806.1339159999916","1807.1043749999953","null","null","2043"
"poolLong","7","ar_to_en","approved-only","3","0","0","3002.2083340000245","3002.271458000003","null","null","1128"
"poolLong","9","ar_to_en","compatibility","3","3","100","756.4756249999919","848.0653750000056","32","64","3303"
"poolLong","11","ar_to_en","compatibility","3","0","0","4502.6724580000155","4503.142709000007","null","null","2461"
"poolLong","11","ar_to_en","approved-only","3","0","0","4503.397041000018","4504.722542000003","null","null","1455"
"poolLong","13","ar_to_en","compatibility","3","0","0","4513.952042000019","4514.164833999996","null","null","2015"
"poolLong","13","ar_to_en","approved-only","3","0","0","142.3688329999859","143.74062499997672","null","null","1477"
"poolLong","13","en_to_ar","compatibility","3","2","66.66666666666666","199.48458399999072","1806.2151669999585","82","119.5","2000"
"poolLong","13","en_to_ar","approved-only","3","0","0","1805.8819169999915","1805.9067089999735","null","null","2000"
"arc4000","7","ar_to_en","approved-only","3","0","0","3002.132042000001","3006.2689580000006","null","null","1128"
"arc4000","9","ar_to_en","compatibility","3","3","100","769.067916","1034.9917910000004","30","66","4000"
"arc4000","11","ar_to_en","compatibility","3","3","100","1602.419332999998","3283.1929579999996","44","93","4000"
"arc4000","11","ar_to_en","approved-only","3","0","0","4394.277041999994","4485.291916999999","null","null","1455"
"arc4000","13","ar_to_en","compatibility","3","2","66.66666666666666","4177.193167000005","4514.677791999999","60","124.5","4000"
"arc4000","13","ar_to_en","approved-only","3","0","0","2356.8017500000005","2363.9407079999983","null","null","1477"
"arc4000","13","en_to_ar","compatibility","3","3","100","85.30099999999948","99.92874999999913","80","120","4000"
"arc4000","13","en_to_ar","approved-only","3","0","0","1807.8165420000005","1808.1859160000022","null","null","3480"
"arc6000","7","ar_to_en","approved-only","3","0","0","3002.077124999996","3002.2287920000017","null","null","1128"
"arc6000","9","ar_to_en","compatibility","3","3","100","368.26529100000334","789.0115829999995","32","64","6000"
"arc6000","11","ar_to_en","compatibility","3","3","100","354.0167499999952","1012.9967500000057","43","99","6000"
"arc6000","11","ar_to_en","approved-only","3","0","0","4398.964458000002","4486.552292000008","null","null","1455"
"arc6000","13","ar_to_en","compatibility","3","3","100","291.2404999999999","509.1929999999993","63","133","6000"
"arc6000","13","ar_to_en","approved-only","3","0","0","2339.738083000004","2360.3263330000045","null","null","1477"
"arc6000","13","en_to_ar","compatibility","3","3","100","127.33820800000103","150.9038750000036","84","119","6000"
"arc6000","13","en_to_ar","approved-only","3","0","0","1806.8056250000081","1807.7244159999973","null","null","3480"
"pool8000","7","ar_to_en","approved-only","3","0","0","3002.2767079999903","3002.3242910000117","null","null","1128"
"pool8000","9","ar_to_en","compatibility","3","3","100","349.17908299999544","402.11658299999544","31","65","8000"
"pool8000","11","ar_to_en","compatibility","3","3","100","215.5917080000072","1358.6969580000004","46","99","8000"
"pool8000","11","ar_to_en","approved-only","3","0","0","4503.1835830000055","4503.220958999998","null","null","1455"
"pool8000","13","ar_to_en","compatibility","3","1","33.33333333333333","4513.821583000012","4514.898082999993","58","125","8000"
"pool8000","13","ar_to_en","approved-only","3","0","0","144.65275000000838","147.99287499999627","null","null","1477"
"pool8000","13","en_to_ar","compatibility","3","3","100","30.492666000005556","53.775416999997105","84","119","8000"
"pool8000","13","en_to_ar","approved-only","3","0","0","1807.2352079999982","1807.8944579999952","null","null","3480"
"pool6000-fixedTemplates","7","ar_to_en","approved-only","3","0","0","3000.5335410000007","3002.5778750000004","null","null","1128"
"pool6000-fixedTemplates","9","ar_to_en","compatibility","3","3","100","208.28687499999796","357.97762499999953","32","64","6000"
"pool6000-fixedTemplates","11","ar_to_en","compatibility","3","3","100","1334.4916249999997","1523.9164579999997","44","92","6000"
"pool6000-fixedTemplates","11","ar_to_en","approved-only","3","0","0","4492.567208","4492.663583000001","null","null","1455"
"pool6000-fixedTemplates","13","ar_to_en","compatibility","3","2","66.66666666666666","2145.7657089999993","4494.953834000002","61","130","6000"
"pool6000-fixedTemplates","13","ar_to_en","approved-only","3","0","0","117.2833329999994","121.32233400000405","null","null","1477"
"pool6000-fixedTemplates","13","en_to_ar","compatibility","3","3","100","35.2945830000026","71.29249999999956","82","119","6000"
"pool6000-fixedTemplates","13","en_to_ar","approved-only","3","0","0","1801.7389580000017","1802.2925829999986","null","null","3480"
"arc6000-fixedTemplates","7","ar_to_en","approved-only","3","0","0","3000.4309169999906","3000.4532920000056","null","null","1128"
"arc6000-fixedTemplates","9","ar_to_en","compatibility","3","3","100","369.35820899999817","370.80679200000304","32","64","6000"
"arc6000-fixedTemplates","11","ar_to_en","compatibility","3","3","100","252.24333399999887","304.6368749999965","46","97","6000"
"arc6000-fixedTemplates","11","ar_to_en","approved-only","3","0","0","4362.938874999993","4467.320332999996","null","null","1455"
"arc6000-fixedTemplates","13","ar_to_en","compatibility","3","3","100","227.4983329999959","991.5092500000028","62","131","6000"
"arc6000-fixedTemplates","13","ar_to_en","approved-only","3","0","0","2260.709707999995","2280.077166999996","null","null","1477"
"arc6000-fixedTemplates","13","en_to_ar","compatibility","3","3","100","131.31212499999674","136.9500840000037","82","119","6000"
"arc6000-fixedTemplates","13","en_to_ar","approved-only","3","1","33.33333333333333","1801.6680000000051","1801.693833000012","74","119","3480"
"poolShort-fixedTemplates","7","ar_to_en","approved-only","3","0","0","3000.572500000002","3001.672625","null","null","1128"
"poolShort-fixedTemplates","9","ar_to_en","compatibility","3","3","100","344.91975","1019.2891670000026","32","64","2351"
"poolShort-fixedTemplates","11","ar_to_en","compatibility","3","2","66.66666666666666","1509.121916","4495.578792000001","46","95.5","2413"
"poolShort-fixedTemplates","11","ar_to_en","approved-only","3","0","0","4492.788957999997","4492.825124999996","null","null","1455"
"poolShort-fixedTemplates","13","ar_to_en","compatibility","3","0","0","4493.1652920000015","4496.147707999997","null","null","2453"
"poolShort-fixedTemplates","13","ar_to_en","approved-only","3","0","0","119.55383300000176","119.8561669999981","null","null","1477"
"poolShort-fixedTemplates","13","en_to_ar","compatibility","3","2","66.66666666666666","1086.0217910000065","1801.8680830000012","80","119.5","4101"
"poolShort-fixedTemplates","13","en_to_ar","approved-only","3","0","0","1801.0062089999992","1801.0618749999994","null","null","2043"
"poolLong-fixedTemplates","7","ar_to_en","approved-only","3","0","0","3000.4167080000043","3000.438833","null","null","1128"
"poolLong-fixedTemplates","9","ar_to_en","compatibility","3","3","100","377.4595410000038","1018.2506670000002","32","64","3303"
"poolLong-fixedTemplates","11","ar_to_en","compatibility","3","1","33.33333333333333","4492.487791000007","4492.602583","44","92","2461"
"poolLong-fixedTemplates","11","ar_to_en","approved-only","3","0","0","4491.850124999997","4492.439000000013","null","null","1455"
"poolLong-fixedTemplates","13","ar_to_en","compatibility","3","0","0","4493.087874999997","4495.344291000001","null","null","2015"
"poolLong-fixedTemplates","13","ar_to_en","approved-only","3","0","0","120.45012500000303","121.37816700000258","null","null","1477"
"poolLong-fixedTemplates","13","en_to_ar","compatibility","3","0","0","1801.2884579999954","1801.549708000006","null","null","2000"
"poolLong-fixedTemplates","13","en_to_ar","approved-only","3","0","0","1800.9957089999953","1801.0388749999984","null","null","2000"
"minRun2","7","ar_to_en","approved-only","3","3","100","1233.6646249999994","2574.7020830000038","25","35","1128"
"minRun2","9","ar_to_en","compatibility","3","3","100","24.19695800000045","186.70370899999944","42","60","2000"
"minRun2","11","ar_to_en","compatibility","3","3","100","54.12870799999996","396.4137919999994","62","85","2000"
"minRun2","11","ar_to_en","approved-only","3","0","0","4059.9930000000004","4075.1955830000006","null","null","1455"
"minRun2","13","ar_to_en","compatibility","3","2","66.66666666666666","3786.363083","4511.717249999994","77","119","2000"
"minRun2","13","ar_to_en","approved-only","3","0","0","3063.2798330000005","3644.096916999999","null","null","1477"
"minRun2","13","en_to_ar","compatibility","3","0","0","1806.8457500000004","1806.9424999999992","null","null","2000"
"minRun2","13","en_to_ar","approved-only","3","0","0","1805.8370839999989","1805.8994999999995","null","null","2000"
"baseline-work-profile","7","ar_to_en","compatibility","1","1","100","14.139832999999953","14.139832999999953","22","41","2000"
"baseline-work-profile","7","ar_to_en","approved-only","1","0","0","3003.3527079999994","3003.3527079999994","null","null","1128"
"baseline-work-profile","9","ar_to_en","compatibility","1","1","100","1315.4945419999995","1315.4945419999995","31","64","2000"
"baseline-work-profile","9","ar_to_en","approved-only","1","0","0","3991.6587499999996","3991.6587499999996","null","null","1373"
"baseline-work-profile","11","ar_to_en","compatibility","1","0","0","4503.896457999999","4503.896457999999","null","null","2000"
"baseline-work-profile","11","ar_to_en","approved-only","1","0","0","4494.958916999998","4494.958916999998","null","null","1455"
"baseline-work-profile","13","ar_to_en","compatibility","1","0","0","4512.397084","4512.397084","null","null","2000"
"baseline-work-profile","13","ar_to_en","approved-only","1","0","0","138.32883300000321","138.32883300000321","null","null","1477"
"baseline-work-profile","13","en_to_ar","compatibility","1","0","0","1806.6002079999998","1806.6002079999998","null","null","2000"
"baseline-work-profile","13","en_to_ar","approved-only","1","0","0","1805.8166249999995","1805.8166249999995","null","null","2000"
"baseline-targeted-failures","9","ar_to_en","compatibility","3","0","0","3992.814208","3997.5626660000007","null","null","2000"
