seed,size,mode,policy,ms,solverAttempts,observedReason,timeoutChecks,viableTemplates,validationErrors
"10","9","ar_to_en","approved-only","3991.9973330000066","55","solver_deadline_observed_root_cause_unestablished","87","24","[]"
"10","11","en_to_ar","approved-only","1803.3563330000034","2","solver_deadline_observed_root_cause_unestablished","65","6","[]"
"10","11","ar_to_en","approved-only","4432.044874999963","274","solver_deadline_observed_root_cause_unestablished","64","24","[]"
"10","11","ar_to_en","compatibility","4501.93316700001","24","solver_deadline_observed_root_cause_unestablished","163","24","[]"
"10","13","en_to_ar","approved-only","1806.5328330000048","2","solver_deadline_observed_root_cause_unestablished","62","6","[]"
"10","13","ar_to_en","approved-only","92.15337499999441","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"10","13","ar_to_en","compatibility","4512.78250000003","24","solver_deadline_observed_root_cause_unestablished","136","24","[]"
"11","7","ar_to_en","approved-only","3002.0647500000196","24","solver_deadline_observed_root_cause_unestablished","124","24","[]"
"11","9","ar_to_en","approved-only","3990.927874999994","58","solver_deadline_observed_root_cause_unestablished","88","24","[]"
"11","11","en_to_ar","approved-only","1803.0629999999655","2","solver_deadline_observed_root_cause_unestablished","38","6","[]"
"11","11","ar_to_en","compatibility","4502.634167000011","24","solver_deadline_observed_root_cause_unestablished","167","24","[]"
"11","11","ar_to_en","approved-only","4395.367790999997","286","solver_deadline_observed_root_cause_unestablished","60","24","[]"
"11","13","en_to_ar","approved-only","1806.3707089999807","2","solver_deadline_observed_root_cause_unestablished","56","6","[]"
"11","13","ar_to_en","compatibility","4511.146083","24","solver_deadline_observed_root_cause_unestablished","158","24","[]"
"11","13","ar_to_en","approved-only","91.23566700000083","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"12","7","ar_to_en","approved-only","3002.2195000000065","24","solver_deadline_observed_root_cause_unestablished","117","24","[]"
"12","9","en_to_ar","approved-only","1702.4056249999558","2","solver_deadline_observed_root_cause_unestablished","39","6","[]"
"12","9","ar_to_en","approved-only","3990.878874999995","57","solver_deadline_observed_root_cause_unestablished","80","24","[]"
"12","11","en_to_ar","approved-only","1804.1693749999977","2","solver_deadline_observed_root_cause_unestablished","50","6","[]"
"12","11","ar_to_en","approved-only","4340.177833000023","295","solver_deadline_observed_root_cause_unestablished","56","24","[]"
"12","11","ar_to_en","compatibility","4503.09270899999","24","solver_deadline_observed_root_cause_unestablished","158","24","[]"
"12","13","en_to_ar","approved-only","1806.725083999976","2","solver_deadline_observed_root_cause_unestablished","60","6","[]"
"12","13","ar_to_en","approved-only","96.51487499999348","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"12","13","ar_to_en","compatibility","4513.359541999991","24","solver_deadline_observed_root_cause_unestablished","132","24","[]"
"13","7","ar_to_en","approved-only","3001.959582999989","24","solver_deadline_observed_root_cause_unestablished","124","24","[]"
"13","9","en_to_ar","approved-only","1702.658791999973","2","solver_deadline_observed_root_cause_unestablished","35","6","[]"
"13","9","ar_to_en","approved-only","3991.0734159999993","52","solver_deadline_observed_root_cause_unestablished","88","24","[]"
"13","11","en_to_ar","approved-only","1804.5112500000396","2","solver_deadline_observed_root_cause_unestablished","35","6","[]"
"13","11","ar_to_en","compatibility","4503.241083999979","24","solver_deadline_observed_root_cause_unestablished","152","24","[]"
"13","11","ar_to_en","approved-only","4377.119249999989","296","solver_deadline_observed_root_cause_unestablished","59","24","[]"
"13","13","en_to_ar","compatibility","1805.849749999994","2","solver_deadline_observed_root_cause_unestablished","61","6","[]"
"13","13","en_to_ar","approved-only","1805.7207920000073","22","solver_deadline_observed_root_cause_unestablished","37","6","[]"
"13","13","ar_to_en","compatibility","4515.336957999971","24","solver_deadline_observed_root_cause_unestablished","139","24","[]"
"13","13","ar_to_en","approved-only","92.10679200000595","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"14","7","en_to_ar","approved-only","1101.718499999959","3","solver_deadline_observed_root_cause_unestablished","36","6","[]"
"14","7","ar_to_en","approved-only","3002.2208329999703","24","solver_deadline_observed_root_cause_unestablished","109","24","[]"
"14","9","ar_to_en","approved-only","3991.648833000043","56","solver_deadline_observed_root_cause_unestablished","97","24","[]"
"14","11","en_to_ar","approved-only","1803.7405840000138","2","solver_deadline_observed_root_cause_unestablished","26","6","[]"
"14","11","ar_to_en","approved-only","4413.949084000022","271","solver_deadline_observed_root_cause_unestablished","58","24","[]"
"14","11","ar_to_en","compatibility","4502.201207999955","24","solver_deadline_observed_root_cause_unestablished","174","24","[]"
"14","13","en_to_ar","approved-only","1806.2027919999673","2","solver_deadline_observed_root_cause_unestablished","29","6","[]"
"14","13","ar_to_en","approved-only","93.60337500000605","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"14","13","ar_to_en","compatibility","4513.55579199997","24","solver_deadline_observed_root_cause_unestablished","161","24","[]"
"15","7","ar_to_en","approved-only","3002.4758750000037","24","solver_deadline_observed_root_cause_unestablished","110","24","[]"
"15","9","ar_to_en","approved-only","3990.9442920000292","62","solver_deadline_observed_root_cause_unestablished","101","24","[]"
"15","11","ar_to_en","compatibility","4502.339582999994","24","solver_deadline_observed_root_cause_unestablished","175","24","[]"
"15","11","ar_to_en","approved-only","4475.426750000042","292","solver_deadline_observed_root_cause_unestablished","50","24","[]"
"15","13","en_to_ar","compatibility","1806.246374999988","2","solver_deadline_observed_root_cause_unestablished","49","6","[]"
"15","13","en_to_ar","approved-only","1806.1892499999958","2","solver_deadline_observed_root_cause_unestablished","58","6","[]"
"15","13","ar_to_en","compatibility","4514.603957999963","24","solver_deadline_observed_root_cause_unestablished","144","24","[]"
"15","13","ar_to_en","approved-only","92.537416999985","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"16","7","ar_to_en","approved-only","3002.1156670000055","24","solver_deadline_observed_root_cause_unestablished","148","24","[]"
"16","9","ar_to_en","approved-only","3991.21212500002","42","solver_deadline_observed_root_cause_unestablished","102","24","[]"
