seed,size,mode,policy,success,generationMs,entries,intersections,candidateCount,candidateLengths,solverAttempts,timeoutChecks,viableTemplates,totalTemplates,validationErrors,qualityErrors,failureReason
"5","13","en_to_ar","compatibility","true","1051.3935829999973","82","119","2000","{""2"":172,""3"":172,""4"":173,""5"":173,""6"":173,""7"":173,""8"":173,""9"":173,""10"":173,""11"":172,""12"":171,""13"":102}","2","43","6","6","[]","[]",""
"5","13","en_to_ar","approved-only","false","1807.5401669999992","0","0","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","2","74","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"5","13","ar_to_en","compatibility","true","492.75912499999686","63","131","6000","{""2"":47,""3"":599,""4"":600,""5"":600,""6"":600,""7"":600,""8"":600,""9"":600,""10"":600,""11"":599,""12"":363,""13"":192}","3","9","24","24","[]","[]",""
"5","13","ar_to_en","approved-only","false","1221.9553339999984","0","0","2477","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79,""12"":18,""13"":33}","480","0","24","24","[]","[]","bounded_search_no_solution_reason_unestablished"
"6","7","en_to_ar","approved-only","true","4.4572499999922","26","36","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"6","7","en_to_ar","compatibility","true","3.611332999993465","26","36","2000","{""2"":204,""3"":360,""4"":359,""5"":359,""6"":359,""7"":359}","1","0","6","6","[]","[]",""
"6","7","ar_to_en","approved-only","true","5.28233299999556","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"6","7","ar_to_en","compatibility","true","4.849624999988009","22","41","2000","{""2"":47,""3"":391,""4"":391,""5"":391,""6"":390,""7"":390}","1","0","24","24","[]","[]",""
"6","9","en_to_ar","approved-only","true","10.752542000001995","42","59","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","1","0","6","6","[]","[]",""
"6","9","en_to_ar","compatibility","true","7.1663750000006985","42","59","2000","{""2"":217,""3"":255,""4"":255,""5"":255,""6"":255,""7"":255,""8"":254,""9"":254}","1","0","6","6","[]","[]",""
"6","9","ar_to_en","approved-only","true","471.5212090000132","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","3","6","24","24","[]","[]",""
"6","9","ar_to_en","compatibility","true","34.88116699999955","30","67","4000","{""2"":47,""3"":565,""4"":565,""5"":565,""6"":565,""7"":565,""8"":564,""9"":564}","1","0","24","24","[]","[]",""
"6","11","en_to_ar","approved-only","false","1804.561458000011","0","0","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","2","60","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"6","11","en_to_ar","compatibility","true","17.019499999994878","60","85","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","1","0","6","6","[]","[]",""
"6","11","ar_to_en","approved-only","true","1157.598125000004","44","88","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","44","57","24","24","[]","[]",""
"6","11","ar_to_en","compatibility","true","1232.856083999999","40","88","6000","{""2"":47,""3"":629,""4"":666,""5"":666,""6"":666,""7"":666,""8"":665,""9"":665,""10"":665,""11"":665}","25","116","24","24","[]","[]",""
"6","13","en_to_ar","approved-only","false","1807.8943329999893","0","0","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","2","64","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"6","13","en_to_ar","compatibility","true","53.81295799999498","84","120","2000","{""2"":172,""3"":172,""4"":173,""5"":173,""6"":173,""7"":173,""8"":173,""9"":173,""10"":173,""11"":172,""12"":171,""13"":102}","1","0","6","6","[]","[]",""
"6","13","ar_to_en","approved-only","false","1399.841499999995","0","0","2477","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79,""12"":18,""13"":33}","480","0","24","24","[]","[]","bounded_search_no_solution_reason_unestablished"
"6","13","ar_to_en","compatibility","true","1052.510792000001","62","131","6000","{""2"":47,""3"":599,""4"":600,""5"":600,""6"":600,""7"":600,""8"":600,""9"":600,""10"":600,""11"":599,""12"":363,""13"":192}","6","38","24","24","[]","[]",""
"7","7","en_to_ar","compatibility","true","4.383499999996275","26","36","2000","{""2"":204,""3"":360,""4"":359,""5"":359,""6"":359,""7"":359}","1","0","6","6","[]","[]",""
"7","7","en_to_ar","approved-only","true","3.7590000000054715","26","36","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"7","7","ar_to_en","compatibility","true","6.270582999990438","22","41","2000","{""2"":47,""3"":391,""4"":391,""5"":391,""6"":390,""7"":390}","1","0","24","24","[]","[]",""
"7","7","ar_to_en","approved-only","true","4.996375000002445","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"7","9","en_to_ar","compatibility","true","10.162625000011758","42","57","2000","{""2"":217,""3"":255,""4"":255,""5"":255,""6"":255,""7"":255,""8"":254,""9"":254}","1","0","6","6","[]","[]",""
"7","9","en_to_ar","approved-only","true","19.576249999998254","42","57","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","1","0","6","6","[]","[]",""
"7","9","ar_to_en","compatibility","true","1045.3168330000044","32","64","4000","{""2"":47,""3"":565,""4"":565,""5"":565,""6"":565,""7"":565,""8"":564,""9"":564}","7","22","24","24","[]","[]",""
"7","9","ar_to_en","approved-only","true","470.41854199999943","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","3","6","24","24","[]","[]",""
"7","11","en_to_ar","compatibility","true","12.144542000009096","60","85","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","1","0","6","6","[]","[]",""
"7","11","en_to_ar","approved-only","true","1032.2321669999947","60","85","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","2","24","6","6","[]","[]",""
"7","11","ar_to_en","compatibility","true","1576.0954579999961","42","89","6000","{""2"":47,""3"":629,""4"":666,""5"":666,""6"":666,""7"":666,""8"":665,""9"":665,""10"":665,""11"":665}","26","134","24","24","[]","[]",""
"7","11","ar_to_en","approved-only","false","4513.549916999997","0","0","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","207","58","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"7","13","en_to_ar","compatibility","true","54.649208000002545","80","120","2000","{""2"":172,""3"":172,""4"":173,""5"":173,""6"":173,""7"":173,""8"":173,""9"":173,""10"":173,""11"":172,""12"":171,""13"":102}","1","0","6","6","[]","[]",""
"7","13","en_to_ar","approved-only","true","65.78733400000783","80","120","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","1","0","6","6","[]","[]",""
"7","13","ar_to_en","compatibility","true","2345.0961249999964","61","127","6000","{""2"":47,""3"":599,""4"":600,""5"":600,""6"":600,""7"":600,""8"":600,""9"":600,""10"":600,""11"":599,""12"":363,""13"":192}","13","68","24","24","[]","[]",""
"7","13","ar_to_en","approved-only","false","1811.4557500000083","0","0","2477","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79,""12"":18,""13"":33}","461","2","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"8","7","en_to_ar","approved-only","true","600.885500000004","25","35","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","2","11","6","6","[]","[]",""
"8","7","en_to_ar","compatibility","true","3.247917000000598","25","35","2000","{""2"":204,""3"":360,""4"":359,""5"":359,""6"":359,""7"":359}","1","0","6","6","[]","[]",""
"8","7","ar_to_en","approved-only","true","11.88749999999709","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"8","7","ar_to_en","compatibility","true","131.3058330000058","22","41","2000","{""2"":47,""3"":391,""4"":391,""5"":391,""6"":390,""7"":390}","2","8","24","24","[]","[]",""
"8","9","en_to_ar","approved-only","true","4.775332999997772","42","60","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","1","0","6","6","[]","[]",""
"8","9","en_to_ar","compatibility","true","7.953207999991719","42","60","2000","{""2"":217,""3"":255,""4"":255,""5"":255,""6"":255,""7"":255,""8"":254,""9"":254}","1","0","6","6","[]","[]",""
"8","9","ar_to_en","approved-only","true","621.7691249999916","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","4","8","24","24","[]","[]",""
"8","9","ar_to_en","compatibility","true","535.9177080000081","31","65","4000","{""2"":47,""3"":565,""4"":565,""5"":565,""6"":565,""7"":565,""8"":564,""9"":564}","4","13","24","24","[]","[]",""
"8","11","en_to_ar","approved-only","true","91.25987500000338","58","86","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","1","0","6","6","[]","[]",""
"8","11","en_to_ar","compatibility","true","15.510250000006636","58","86","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","1","0","6","6","[]","[]",""
"8","11","ar_to_en","approved-only","true","884.6834999999992","44","88","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","38","38","24","24","[]","[]",""
"8","11","ar_to_en","compatibility","true","1038.0452920000098","40","88","6000","{""2"":47,""3"":629,""4"":666,""5"":666,""6"":666,""7"":666,""8"":665,""9"":665,""10"":665,""11"":665}","22","92","24","24","[]","[]",""
"8","13","en_to_ar","approved-only","false","1807.0304590000014","0","0","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","2","67","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"8","13","en_to_ar","compatibility","true","1063.390207999997","83","119","2000","{""2"":172,""3"":172,""4"":173,""5"":173,""6"":173,""7"":173,""8"":173,""9"":173,""10"":173,""11"":172,""12"":171,""13"":102}","2","48","6","6","[]","[]",""
